id,station,group,time,susceptibility,severity,benefits,barriers,self_efficacy,cues_to_action,ttm_stage,safe_behavior
62,S02,intervention,post,3.08,3.81,3.96,2.94,4.14,3.32,5,4.18
62,S02,intervention,followup,3.01,3.64,3.86,2.63,3.77,3.0,5,4.0
63,S03,intervention,pre,3.95,3.49,4.85,2.43,3.61,2.32,5,3.61
63,S03,intervention,post,4.13,3.59,5,2.06,4.17,2.95,5,4.39
63,S03,intervention,followup,3.95,3.56,4.91,2.09,3.72,2.74,5,4.44
64,S04,intervention,pre,2.39,4.19,3.34,3.2,4.16,2.4,5,3.45
64,S04,intervention,post,2.85,4.28,3.76,2.94,4.38,2.78,5,4.17
64,S04,intervention,followup,2.55,4.13,3.62,2.78,4.58,2.49,5,3.97
65,S05,intervention,pre,3.43,2.85,2.89,2.84,2.66,2.8,4,1.91
65,S05,intervention,post,3.49,2.84,3.15,2.67,2.99,3.26,5,2.66
65,S05,intervention,followup,3.72,2.7,3.09,2.72,2.96,3.32,4,2.8
66,S06,intervention,pre,3.56,2.95,3.13,2.95,4.51,3.21,5,3.45
66,S06,intervention,post,3.74,3.0,3.75,2.73,4.79,3.39,5,3.68
66,S06,intervention,followup,3.69,2.96,3.38,2.77,4.58,3.02,5,3.74
67,S07,intervention,pre,3.26,3.6,4.05,1.99,4.17,3.38,5,4.39
67,S07,intervention,post,3.15,3.85,4.36,1.67,4.29,3.62,5,4.77
67,S07,intervention,followup,3.31,3.72,4.44,1.6,4.45,3.69,5,5
68,S08,intervention,pre,2.11,4.09,3.11,3.38,2.38,3.22,5,2.77
68,S08,intervention,post,2.24,4.17,3.28,3.33,2.52,3.7,2,3.51
68,S08,intervention,followup,2.38,4.18,3.29,3.36,2.65,3.54,3,3.29
69,S09,intervention,pre,4.11,3.53,3.98,3.18,3.68,3.34,5,3.47
69,S09,intervention,post,4.34,3.83,3.98,3.3,4.27,3.89,5,3.88
69,S09,intervention,followup,4.17,3.67,4.19,3.3,4.06,3.58,5,4.04
70,S10,intervention,pre,3.01,2.69,3.32,4.26,3.12,1.24,4,2.27
70,S10,intervention,post,2.98,2.87,3.56,3.91,3.64,1.62,4,2.5
70,S10,intervention,followup,3.3,2.68,3.54,4.15,3.36,1.21,2,2.66
71,S11,intervention,pre,3.35,5,3.73,3.1,2.77,2.79,5,2.59
71,S11,intervention,post,3.53,5,4.01,2.94,3.08,2.98,5,3.0
71,S11,intervention,followup,3.39,5,3.98,2.98,3.07,3.23,5,2.68
72,S12,intervention,pre,3.01,4.1,3.57,3.04,4.09,3.53,5,3.44
72,S12,intervention,post,3.13,4.04,3.74,2.68,4.23,4.05,5,3.99
72,S12,intervention,followup,3.32,4.11,3.86,2.78,4.35,4.07,5,3.2
73,S01,intervention,pre,3.16,4.78,3.9,3.69,3.26,1.6,5,3.38
73,S01,intervention,post,3.14,4.9,4.12,3.1,3.82,1.96,5,4.19
73,S01,intervention,followup,3.19,5,4.31,3.49,3.79,1.67,5,3.53
74,S02,intervention,pre,3.07,4.27,4.62,3.79,2.41,2.96,3,3.08
74,S02,intervention,post,3.06,4.11,5,3.69,3.21,3.19,5,3.24
74,S02,intervention,followup,3.29,4.06,4.82,3.82,2.67,3.31,5,3.25
75,S03,intervention,pre,4.13,3.99,4.62,2.91,2.45,2.15,5,3.8
75,S03,intervention,post,4.19,4.22,4.58,2.72,2.93,2.46,5,4.45
75,S03,intervention,followup,4.21,4.16,4.48,2.82,2.85,2.33,5,4.01
76,S04,intervention,pre,4.09,3.11,4.31,2.94,3.12,2.5,5,3.4
76,S04,intervention,post,4.06,3.28,4.77,2.63,3.74,2.92,5,3.83
76,S04,intervention,followup,3.73,3.39,4.71,2.84,3.63,2.98,5,3.93
77,S05,intervention,pre,4.32,3.69,3.63,1.89,2.5,3.72,5,3.65
77,S05,intervention,post,4.24,3.61,3.86,1.5,3.12,4.19,5,4.3
77,S05,intervention,followup,4.21,3.89,3.58,1.4,2.69,3.78,5,4.11
78,S06,intervention,pre,3.55,4.36,4.18,2.96,2.61,2.36,5,2.71
78,S06,intervention,post,3.76,4.46,4.5,3.06,3.02,2.59,5,3.12
78,S06,intervention,followup,3.7,4.12,4.27,3.15,3.07,2.57,5,3.58
79,S07,intervention,pre,3.16,3.16,2.89,3.34,3.58,2.38,3,2.92
79,S07,intervention,post,3.45,3.09,3.03,2.96,4.03,2.94,5,3.75
79,S07,intervention,followup,3.3,3.08,2.97,2.88,3.6,2.93,5,3.47
80,S08,intervention,pre,3.14,4.16,3.29,3.07,3.75,1.94,5,2.79
80,S08,intervention,post,3.03,4.32,3.65,2.81,4.32,2.4,5,3.24
80,S08,intervention,followup,3.08,4.3,3.46,2.81,4.35,2.27,5,3.14
81,S09,intervention,pre,2.39,4.63,4.62,3.69,3.41,3.82,5,4.06
81,S09,intervention,post,2.29,4.86,4.75,3.69,4.15,4.38,5,4.42
81,S09,intervention,followup,2.29,4.8,4.71,3.56,3.91,4.24,5,4.28
82,S10,intervention,pre,3.02,3.26,3.96,3.59,3.1,2.21,4,3.18
82,S10,intervention,post,3.08,3.25,4.09,3.47,3.71,2.42,5,3.89
82,S10,intervention,followup,3.11,3.35,4.14,3.33,3.46,2.33,5,3.54
83,S11,intervention,pre,2.62,3.97,4.12,3.18,2.13,2.91,3,3.26
83,S11,intervention,post,2.85,4.04,4.63,2.75,2.72,2.84,5,3.27
83,S11,intervention,followup,2.46,4.03,4.64,2.74,2.57,2.69,5,3.92
84,S12,intervention,pre,3.72,5,4.26,2.69,4.46,3.94,5,3.42
84,S12,intervention,post,3.94,4.94,4.67,2.64,4.64,4.4,5,4.12
84,S12,intervention,followup,3.93,5,4.52,2.62,4.64,4.32,5,4.12
85,S01,intervention,pre,3.07,4.48,4.09,3.92,2.18,3.69,3,2.79
85,S01,intervention,post,3.25,4.38,4.5,3.47,2.41,4.17,5,3.44
85,S01,intervention,followup,3.1,4.58,4.5,3.61,2.37,4.03,5,3.03
86,S02,intervention,pre,2.8,3.52,3.76,1.81,3.9,2.41,5,3.33
86,S02,intervention,post,2.95,3.47,4.25,1.64,4.02,2.52,5,3.56
86,S02,intervention,followup,2.74,3.25,4.08,1.66,3.98,2.66,5,3.96
87,S03,intervention,pre,2.85,2.88,3.39,3.19,2.94,3.67,4,3.14
87,S03,intervention,post,2.99,3.05,3.84,2.98,3.05,4.25,5,3.64
87,S03,intervention,followup,2.86,2.92,3.8,3.13,3.06,4.1,5,3.57
88,S04,intervention,pre,3.92,5,3.46,3.7,3.15,3.88,5,3.02
88,S04,intervention,post,4.04,5,3.79,3.74,3.57,4.3,5,3.73
88,S04,intervention,followup,4.17,5,3.8,3.47,3.28,4.17,5,2.88
89,S05,intervention,pre,4.08,3.74,4.28,3.12,2.04,3.23,5,3.64
89,S05,intervention,post,4.24,3.78,4.57,2.9,2.64,3.18,5,2.95
89,S05,intervention,followup,4.11,3.83,4.15,2.92,2.38,3.35,5,3.77
90,S06,intervention,pre,3.52,3.45,3.42,3.57,3.98,2.55,5,3.54
90,S06,intervention,post,3.49,3.77,3.53,3.27,4.28,2.79,4,3.82
90,S06,intervention,followup,3.6,3.74,3.42,3.41,4.13,2.71,5,3.49
91,S07,control,pre,3.21,5,3.96,3.2,2.89,2.98,5,2.71
91,S07,control,post,2.91,4.82,3.8,3.35,2.78,2.85,5,3.15
91,S07,control,followup,2.9,5,3.79,3.42,3.13,2.65,4,3.4
92,S08,control,pre,3.98,4.57,4.28,2.62,3.7,3.27,5,4.23
92,S08,control,post,4.48,4.53,3.99,2.75,3.52,3.51,5,3.85
92,S08,control,followup,3.99,4.68,3.93,2.63,3.6,3.38,5,3.95
93,S09,control,pre,3.26,4.13,3.79,2.01,4.35,3.42,5,3.33
93,S09,control,post,3.1,3.9,4.04,2.15,4.42,3.18,5,3.91
93,S09,control,followup,3.24,4.17,3.8,1.94,4.41,3.4,5,3.43
94,S10,control,pre,3.68,4.45,3.56,2.76,2.5,2.35,5,3.11
94,S10,control,post,3.67,4.4,3.56,2.95,2.54,2.51,5,2.91
94,S10,control,followup,3.76,4.48,3.44,2.67,2.53,2.62,5,2.43
95,S11,control,pre,2.28,2.36,4.36,3.89,2.33,3.63,4,2.55
95,S11,control,post,2.56,2.31,4.55,3.64,2.67,3.61,4,2.71
95,S11,control,followup,2.42,2.55,4.28,3.39,2.58,3.61,5,2.53
96,S12,control,pre,3.09,4.42,3.63,3.96,3.72,2.68,5,3.05
96,S12,control,post,3.17,4.41,3.5,3.59,3.67,2.7,5,2.65
96,S12,control,followup,3.2,4.37,3.52,3.81,3.81,2.53,5,3.6
97,S01,control,pre,4.27,4.36,3.8,3.29,2.54,3.28,5,3.14
97,S01,control,post,4.24,4.22,3.67,2.99,2.34,3.28,5,2.52
97,S01,control,followup,4.21,4.44,3.66,3.06,2.46,3.41,5,2.96
98,S02,control,pre,3.97,5,4.06,2.95,2.72,3.44,5,2.65
98,S02,control,post,4.01,5,3.76,2.81,2.37,3.22,5,2.54
98,S02,control,followup,3.88,4.96,3.63,3.06,2.65,3.45,5,2.58
99,S03,control,pre,2.46,2.94,4.08,2.99,2.29,2.09,3,2.5
99,S03,control,post,2.73,2.77,4.28,3.12,2.49,2.2,4,2.87
99,S03,control,followup,2.55,2.81,3.96,3.13,2.31,2.33,4,2.76
100,S04,control,pre,2.26,3.67,4.16,3.98,2.75,3.17,3,2.98
100,S04,control,post,2.3,3.56,4.08,4.17,3.06,3.08,4,2.96
100,S04,control,followup,2.31,3.73,4.28,3.99,2.9,3.14,5,2.36
101,S05,control,pre,3.77,3.79,3.98,2.57,3.68,1.82,5,3.22
101,S05,control,post,3.75,3.97,4.22,2.39,3.72,1.94,5,3.34
101,S05,control,followup,3.76,3.77,4.28,2.37,3.65,1.92,5,3.42
102,S06,control,pre,2.88,3.2,3.66,4.18,2.79,2.0,4,2.53
102,S06,control,post,2.89,3.21,3.69,4.12,2.67,2.36,3,2.38
102,S06,control,followup,2.96,3.22,3.71,4.22,2.46,2.29,2,2.35
103,S07,control,pre,3.56,3.93,4.24,4.18,2.37,2.32,4,3.27
103,S07,control,post,3.43,3.74,4.19,4.0,2.69,2.67,3,3.1
103,S07,control,followup,3.44,3.98,4.25,3.82,2.46,1.95,4,3.38
104,S08,control,pre,3.57,4.34,4.45,3.37,4.49,2.22,5,3.85
104,S08,control,post,3.49,4.33,4.58,3.61,4.51,2.28,5,3.61
104,S08,control,followup,3.53,4.19,4.39,3.47,4.46,2.39,5,3.86
105,S09,control,pre,3.71,3.65,2.82,2.65,2.8,3.47,4,2.88
105,S09,control,post,3.83,3.72,2.99,3.03,2.72,3.27,5,2.9
105,S09,control,followup,3.92,3.76,3.05,3.1,2.8,3.23,3,3.06
106,S10,control,pre,3.95,4.83,3.19,4.01,2.93,3.71,5,3.14
106,S10,control,post,3.78,5,3.19,4.28,2.71,4.11,5,3.33
106,S10,control,followup,3.82,4.8,3.24,4.37,2.9,3.8,4,3.28
107,S11,control,pre,3.09,4.02,3.61,3.89,3.65,2.33,5,3.4
107,S11,control,post,3.12,4.2,3.57,4.26,3.51,1.9,3,3.25
107,S11,control,followup,3.06,4.17,3.62,4.13,3.82,2.27,4,2.92
108,S12,control,pre,4.42,4.0,3.5,4.29,3.22,3.19,4,1.8
108,S12,control,post,4.29,3.87,3.52,4.23,3.26,3.13,5,2.15
108,S12,control,followup,4.31,3.89,3.65,4.14,3.4,3.07,5,1.97
109,S01,control,pre,2.37,3.32,3.75,3.49,2.82,2.9,4,3.1
109,S01,control,post,2.41,3.39,3.61,3.48,3.15,2.81,4,3.22
109,S01,control,followup,2.35,3.36,3.56,3.5,3.07,2.88,4,3.01
110,S02,control,pre,3.5,4.28,2.51,2.68,2.76,3.26,5,3.39
110,S02,control,post,3.38,4.39,2.47,3.09,2.65,3.34,3,3.03
110,S02,control,followup,3.12,4.4,2.45,3.07,2.45,3.59,3,2.63
111,S03,control,pre,3.96,3.05,3.28,2.45,3.74,3.02,5,3.78
111,S03,control,post,3.85,2.99,3.0,2.8,3.76,3.1,5,3.15
111,S03,control,followup,4.02,3.07,3.12,2.76,3.75,3.1,5,3.43
112,S04,control,pre,2.54,4.79,3.62,2.44,3.44,4.1,5,3.25
112,S04,control,post,2.53,4.74,3.48,2.25,3.23,4.06,5,1.96
112,S04,control,followup,2.55,4.75,3.63,2.34,3.37,4.31,5,3.21
113,S05,control,pre,3.16,3.44,4.36,1.6,1.91,4.11,5,3.5
